Date,Price
25/11/2015,38.12
26/11/2015,40.08
27/11/2015,37.21
28/11/2015,36.39
29/11/2015,34.2
30/11/2015,38.4
01/12/2015,39.09
02/12/2015,39.46
03/12/2015,39.6
04/12/2015,36
05/12/2015,34.51
06/12/2015,34.77
07/12/2015,39.11
08/12/2015,36.04
09/12/2015,37.81
10/12/2015,36.89
11/12/2015,36.79
12/12/2015,38.05
13/12/2015,37.67
14/12/2015,39.14
15/12/2015,37.05
16/12/2015,35.68
17/12/2015,36.45
18/12/2015,33.83
19/12/2015,32.63
20/12/2015,31.08
21/12/2015,32.8
22/12/2015,31.12
23/12/2015,31.89
24/12/2015,29.05
25/12/2015,28.5
26/12/2015,28.01
27/12/2015,32.12
28/12/2015,33.17
29/12/2015,34.31
30/12/2015,30.76
31/12/2015,36.18
01/01/2016,32.63
02/01/2016,33.15
03/01/2016,35.65
04/01/2016,37.68
05/01/2016,36.73
06/01/2016,36.17
07/01/2016,37.12
08/01/2016,38.56
09/01/2016,38.04
10/01/2016,35.46
11/01/2016,38.61
12/01/2016,36.46
13/01/2016,36.92
14/01/2016,35.88
15/01/2016,35.13
16/01/2016,35.23
17/01/2016,35.11
18/01/2016,44.51
19/01/2016,51.65
20/01/2016,44.91
21/01/2016,39.22
22/01/2016,33.9
23/01/2016,34.58
24/01/2016,35.09
25/01/2016,33.13
26/01/2016,31.62
27/01/2016,32.38
28/01/2016,32.15
29/01/2016,30.15
30/01/2016,32.59
31/01/2016,35.37
01/02/2016,32.99
02/02/2016,31.1
03/02/2016,33.72
04/02/2016,32.83
05/02/2016,31.75
06/02/2016,31.02
07/02/2016,29.53
08/02/2016,31.5
09/02/2016,31.95
10/02/2016,32.2
11/02/2016,35.41
12/02/2016,33
13/02/2016,33.74
14/02/2016,32.06
15/02/2016,34.79
16/02/2016,31.87
17/02/2016,33.91
18/02/2016,33.47
19/02/2016,33
20/02/2016,32.52
21/02/2016,31.54
22/02/2016,34.36
23/02/2016,34.49
24/02/2016,35.94
25/02/2016,43.9
26/02/2016,34.4
27/02/2016,33.28
28/02/2016,34.26
29/02/2016,33.16
01/03/2016,33.53
02/03/2016,33.09
03/03/2016,36.09
04/03/2016,33.62
05/03/2016,32.74
06/03/2016,34.07
07/03/2016,38.99
08/03/2016,35.52
09/03/2016,34.25
10/03/2016,38.51
11/03/2016,36.34
12/03/2016,33.14
13/03/2016,32.66
14/03/2016,34.23
15/03/2016,32.67
16/03/2016,32.56
17/03/2016,34.8
18/03/2016,34.09
19/03/2016,33.58
20/03/2016,32.83
21/03/2016,36.9
22/03/2016,37.6
23/03/2016,35.11
24/03/2016,33.32
25/03/2016,33.92
26/03/2016,31.08
27/03/2016,28.49
28/03/2016,33.7
29/03/2016,35.2
30/03/2016,33.57
31/03/2016,34.59
01/04/2016,31.98
02/04/2016,32.01
03/04/2016,30.52
04/04/2016,35.21
05/04/2016,32.08
06/04/2016,30.13
07/04/2016,31.51
08/04/2016,32.59
09/04/2016,31.81
10/04/2016,29.61
11/04/2016,28.13
12/04/2016,35.2
13/04/2016,35
14/04/2016,35.74
15/04/2016,34.59
16/04/2016,32.01
17/04/2016,32.5
18/04/2016,32.69
19/04/2016,37.04
20/04/2016,34.86
21/04/2016,33.6
22/04/2016,34.94
23/04/2016,33.81
24/04/2016,33.87
25/04/2016,34.05
26/04/2016,33.54
27/04/2016,37.29
28/04/2016,38.21
29/04/2016,35.7
30/04/2016,34.26
01/05/2016,33.2
02/05/2016,31.98
03/05/2016,34.17
04/05/2016,32.96
05/05/2016,32.67
06/05/2016,35.45
07/05/2016,32.66
08/05/2016,32.74
09/05/2016,34.54
10/05/2016,37.99
11/05/2016,43.88
12/05/2016,35.08
13/05/2016,36.3
14/05/2016,33.61
15/05/2016,34.29
16/05/2016,45.58
17/05/2016,35.84
18/05/2016,35.52
19/05/2016,35.75
20/05/2016,31.77
21/05/2016,30.48
22/05/2016,32.98
23/05/2016,33.94
24/05/2016,32.24
25/05/2016,34.28
26/05/2016,32.9
27/05/2016,32.87
28/05/2016,33.75
29/05/2016,32.3
30/05/2016,32.11
31/05/2016,32.51
01/06/2016,34.64
02/06/2016,35.18
03/06/2016,37.22
04/06/2016,34.28
05/06/2016,33.52
06/06/2016,39.1
07/06/2016,38.48
08/06/2016,38.11
09/06/2016,39.38
10/06/2016,41.14
11/06/2016,35.73
12/06/2016,34.76
13/06/2016,37.91
14/06/2016,37.24
15/06/2016,36.92
16/06/2016,39.04
17/06/2016,36.5
18/06/2016,37.44
19/06/2016,35.08
20/06/2016,34.64
21/06/2016,37.06
22/06/2016,39.36
23/06/2016,41.4
24/06/2016,37.24
25/06/2016,36.23
